Local Agent Code,Clearance No,Clearance Date,Clearance Charge,Manufacture Name,Exporter,Country,Invoice No,Invoice Date,Type of Consignment ,Date of Arrival ,MOH Registered ,MOH Reg. No,HS Code,Trade Name,Generic Name,Batch No,Dosage,Strength/Volume,Pack Size,Per Pack Quantity,Manufacture Date,Expiry Date,Shelf Life ,Institution (Distribution),Institution Qty,Unit,Unit Price,Total Price,Currency,Free Qty,Net Qty,Remarks
OPP,10387,02-12-2018,,Sichuan Haisco Pharmaceutical,Sichuan Haisco Pharmaceutical,China,151018-SHP,20-10-2018,Impurity Reference,17-12-2018,N,N,29339900,Dabigatran,Dabigatran,PBP-181009,,,,,Oct-18,Sep-21,36,0,0.5,kg,4,2,USD,0,0.5,
OPP,10474,02-12-2018,,"ACG Associated Capsules, India",ACG FZE,UAE,909600071,15-11-2018,Pharmaceutical Excipient,10-12-2018,N,N,96020010,Empty hard Gelatin Capsules,Empty hard Gelatin Capsules,1150036037,,,,,Nov-18,Oct-23,60,0,1000000,PCS,0.00288,2880,USD,0,1000000,
OPP,10474,02-12-2018,,"ACG Associated Capsules, India",ACG FZE,UAE,909600071,15-11-2018,Pharmaceutical Excipient,10-12-2018,N,N,96020010,Empty hard Gelatin Capsules,Empty hard Gelatin Capsules,1150036033,,,,,Nov-18,Oct-23,60,0,5000000,PCS,0.00283,14150,USD,0,5000000,
OPP,10523,03-12-2018,,Covalent Laboratories Pvt Ltd,Covalent Laboratories Pvt Ltd,India,1201200355,09-11-2018,Active Pharmaceutical Ingredient,05-12-2018,Y,6657,29419090,Cefixime,Cefexime,CFEN180341,,,,,Oct-18,Sep-21,36,0,150,kg,169,25350,USD,0,150,
OPP,10547,03-12-2018,,Hikal Limited,Hikal Limited,India,7.18191E+11,16-11-2018,Active Pharmaceutical Ingredient,11-12-2018,Y,3529,29224990,Gabapentin,Gabapentin,G71460618/027,,,,,Nov-18,Oct-21,36,0,700,kg,47,32900,USD,0,700,
OPP,10548,03-12-2018,,Symbiotica Speciality Ingredients SDN.BHD,Symbiotica Speciality Ingredients SDN.BHD,Malaysia,I 18/0960,28-11-2018,Active Pharmaceutical Ingredient,18-12-2018,Y,3400,29371900,Exemestane,Exemestane,EXM-BLT 005/0618,,,,,Jun-18,May-21,36,0,47,kg,4600,216200,USD,0,47,
OPP,10549,03-12-2018,,USV Private Ltd,Tiefenbacher API Ingredients GmbH & Co.KG,Germany,VR19-900384,27-11-2018,Active Pharmaceutical Ingredient,20-12-2018,Y,N,29252900,Metformin,Metformin,17032964,,,,,Nov-18,Oct-23,60,0,1100,kg,10.31,11341,USD,0,1100,
OPP,10550,03-12-2018,,"BASF SE, Germany",Obegi Chemicals LLC,UAE,6721,27-11-2018,Pharmaceutical Excipient,09-12-2018,N,N,29362800,Vitamin E,Vitamin E,4.33E+07,,,,,Aug-18,Aug-21,36,0,5,kg,525,2625,AED,0,5,
OPP,10551,03-12-2018,,Imerys,Signet Chemical Corporation Pvt Ltd,India,SE-1819-11-008,14-11-2018,Pharmaceutical Excipient,11-12-2018,N,N,25262000,Talc,Talc,S702/18,,,,,Sep-18,Sep-21,36,0,500,kg,2.86,1430,USD,0,500,
OPP,10552,03-12-2018,,Hebei Huachen Pharmaceutical Co Ltd,Jiali Bio Group (Qingdao0 Limited,China,JL-QD-18179-1,31-10-2018,Pharmaceutical Excipient,16-12-2018,N,N,28362090,Sodium Bicarbonate,Sodium Bicarbonate,181026,,,,,Oct-18,Oct-20,24,0,25000,kg,0.59,14750,USD,0,25000,
OPP,10571,04-12-2018,,MSD (Pty) Ltd,Trinity Pharma (Pty) Ltd,South Africa,OTL14112018,14-11-2018,Finished Products,16-12-2018,Y,N,30043919,Livifem Samples,Livifem Samples,C110040,,,,,-,Oct-19,-,0,6,PCS,522.38,3134.28,USD,0,6,
OPP,10572,04-12-2018,,"Saurav Chemicals Limited, India",Pharmathen Pharmaceutical Industry,Greece,E40012539,30-11-2018,Pharmaceutical Excipient,19-12-2018,N,1449,29224985,Pregabalin,Pregabalin,1842035,,,,,Oct-18,Sep-23,60,0,50000,gms,0.19,9500,EUR,0,50000,
OPP,10573,04-12-2018,,"Saurav Chemicals Limited, India",Pharmathen Pharmaceutical Industry,Greece,E40012541,30-11-2018,Pharmaceutical Excipient,19-12-2018,N,1449,29224985,Pregabalin,Pregabalin,1842035,,,,,Oct-18,Sep-23,60,0,75000,gms,0.19,14250,EUR,0,75000,
OPP,10574,04-12-2018,,Parabolic Drugs Ltd,Orbit Life Science,India,EXS/11/002,29-11-2018,Active Pharmaceutical Ingredient,18-12-2018,Y,810,29419090,Cefixime,Cefexime,CFXK180013,,,,,Aug-18,Jul-21,36,0,150,kg,140.25,21037.5,USD,0,150,
OPP,10574,04-12-2018,,Parabolic Drugs Ltd,Orbit Life Science,India,EXS/11/002,29-11-2018,Active Pharmaceutical Ingredient,18-12-2018,Y,810,29419090,Cefixime,Cefexime,CFXK180015,,,,,Aug-18,Jul-21,36,0,150,kg,140.25,21037.5,USD,0,150,
OPP,10675,06-12-2018,,Dishman Carbogen Amics Limited,Dishman Carbogen Amics Limited,India,9131180171,13-11-2018,Active Pharmaceutical Ingredient,20-12-2018,Y,6886,29239000,Cetrimide,Cetrimide,318CAA0011,,,,,Jul-18,Jun-23,60,0,25,kg,100,2500,USD,0,25,
OPP,10690,09-12-2018,,Sun Pharmaceutical Industries (Australia) Pty Ltd,Sun Pharmaceutical Industries (Australia) Pty Ltd,Australia,17513,27-11-2018,Active Pharmaceutical Ingredient,24-12-2018,Y,929,29391100,Codeine Phosphate,Codeine Phosphate,CPO5359,,,,,Mar-18,Feb-23,60,0,1700,kg,305,518500,USD,0,1700,
OPP,10690,09-12-2018,,Sun Pharmaceutical Industries (Australia) Pty Ltd,Sun Pharmaceutical Industries (Australia) Pty Ltd,Australia,17513,27-11-2018,Active Pharmaceutical Ingredient,24-12-2018,Y,929,29391100,Codeine Phosphate,Codeine Phosphate,CPO5396,,,,,Jun-18,May-23,60,0,,kg,,,USD,0,,
OPP,10690,09-12-2018,,Sun Pharmaceutical Industries (Australia) Pty Ltd,Sun Pharmaceutical Industries (Australia) Pty Ltd,Australia,17513,27-11-2018,Active Pharmaceutical Ingredient,24-12-2018,Y,929,29391100,Codeine Phosphate,Codeine Phosphate,CPO5397,,,,,Jun-18,May-23,60,0,,kg,,,USD,0,,
