column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n
ALABAMA,Cities outside metropolitan areas,Area actually reporting,0.966,3551,41,263,187,410,2837,19841,4173,14332,1336
ALABAMA,Cities outside metropolitan areas,Estimated total,1,3646,42,269,193,421,2914,20291,4275,14641,1375
ALABAMA,Nonmetropolitan counties,,625989,,,,,,,,,,
ALABAMA,Nonmetropolitan counties,Area actually reporting,0.945,1220,31,141,95,61,987,7096,2490,3934,672
ALABAMA,Nonmetropolitan counties,Estimated total,1,1291,33,149,101,65,1044,7507,2634,4162,711
ALABAMA,State Total,,4863300,25886,407,1916,1385,4686,18877,143362,34065,97574,11723
ALABAMA,State Total,"Rate per 100,000 inhabitants",,532.3,8.4,39.4,28.5,96.4,388.2,2947.8,700.5,2006.3,241.1
ALASKA,Metropolitan Statistical Area,,350298,,,,,,,,,,
ALASKA,Metropolitan Statistical Area,Area actually reporting,1,3751,35,583,439,741,2392,17143,2243,12620,2280
ALASKA,Cities outside metropolitan areas,,128053,,,,,,,,,,
ALASKA,Cities outside metropolitan areas,Area actually reporting,0.974,964,2,165,119,71,726,4069,655,3101,313
ALASKA,Cities outside metropolitan areas,Estimated total,1,989,2,169,123,73,745,4177,672,3184,321
ALASKA,Nonmetropolitan counties,,263543,,,,,,,,,,
ALASKA,Nonmetropolitan counties,Area actually reporting,1,1226,15,301,195,36,874,3556,1138,1962,456
ALASKA,State Total,,741894,5966,52,1053,757,850,4011,24876,4053,17766,3057
ALASKA,State Total,"Rate per 100,000 inhabitants",,804.2,7,141.9,102,114.6,540.6,3353,546.3,2394.7,412.1
ARIZONA,Metropolitan Statistical Area,,6583506,,,,,,,,,,
ARIZONA,Metropolitan Statistical Area,Area actually reporting,0.983,27522,334,2997,2238,6931,17260,196398,35424,143602,17372
ARIZONA,Metropolitan Statistical Area,Estimated total,1,27789,338,3025,2258,6971,17455,198543,35844,145152,17547
ARIZONA,Cities outside metropolitan areas, ,124210,, ,,,,,,,,
ARIZONA,Cities outside metropolitan areas,Area actually reporting,1,4342,32,250,184,65,3995,5937,1199,4069,669
ARIZONA,Nonmetropolitan counties, ,223355,,,,,,,,,,
ARIZONA,Nonmetropolitan counties,Area actually reporting,1,452,10,15,10,19,408,1952,693,1054,205
ARIZONA,State Total,,6931071,32583,380,3290,2452,7055,21858,206432,37736,150275,18421
ARIZONA,State Total,"Rate per 100,000 inhabitants",,470.1,5.5,47.5,35.4,101.8,315.4,2978.4,544.4,2168.1,265.8
ARKANSAS,Metropolitan Statistical Area,,1851896,,,,,,,,,,
ARKANSAS,Metropolitan Statistical Area,Area actually reporting,0.999,11573,144,1315,967,1711,8403,68739,15650,47839,5250
ARKANSAS,Metropolitan Statistical Area,Estimated total,1,11576,144,1316,968,1711,8405,68762,15655,47856,5251
ARKANSAS,Cities outside metropolitan areas,,515688,, ,,,,,,,,
ARKANSAS,Cities outside metropolitan areas,Area actually reporting ,0.941,2925,44,471,343,347,2063,18438,4926,12537,975
ARKANSAS,Cities outside metropolitan areas,Estimated total,1,3109,47,500,364,369,2193,19599,5236,13327,1036
ARKANSAS,Nonmetropolitan counties,,620664,,,,,,,,,,
ARKANSAS,Nonmetropolitan counties,Area actually reporting,0.961,1704,24,313,204,38,1329,8944,2766,5344,834
ARKANSAS,Nonmetropolitan counties,Estimated total,1,1776,25,327,213,40,1384,9312,2880,5564,868
ARKANSAS,State Total,,2988248,16461,216,2143,1545,2120,11982,97673,23771,66747,7155
ARKANSAS,State Total,"Rate per 100,000 inhabitants",,550.9,7.2,71.7,51.7,70.9,401,3268.6,795.5,2233.6,239.4
CALIFORNIA,Metropolitan Statistical Area,,38426705,,,,,,,,,,
,Metropolitan Statistical Area,Area actually reporting,0.999,170862,1880,13290,9871,54288,101404,983750,182895,626742,174113
,Metropolitan Statistical Area,Estimated total,1,170887,1880,13292,9872,54296,101419,983927,182929,626856,174142
,Cities outside metropolitan areas,,268891,,,,,,,,,,
,Cities outside metropolitan areas,Area actually reporting,1,1805,8,164,118,310,1323,9604,2243,6260,1101
,Nonmetropolitan counties,,554421,,,,,,,,,,
,,Area actually reporting,1,2104,42,246,159,183,1633,8539,3132,3894,1513
,State Total,,39250017,174796,1930,13702,10149,54789,104375,1002070,188304,637010,176756
,,"Rate per 100,000 inhabitants",,445.3,4.9,34.9,25.9,139.6,265.9,2553,479.8,1623,450.3
COLORADO,Metropolitan Statistical Area,,4845078,,,,,, ,,,,
,,Area actually reporting,0.999,17870,190,3233,2391,3458,10989,138992,21523,98615,18854
,,Estimated total,1,17882,190,3235,2393,3459,10998,139156,21542,98740,18874
,Cities outside metropolitan areas,,337897,,,,,,,,,,
,,Area actually reporting,0.919,641,10,167,121,48,416,8641,1294,6943,404
,,Estimated total,1,697,11,181,133,52,453,9405,1408,7557,440
,Nonmetropolitan counties,,357570,,,,,,,,,,
,,Area actually reporting,0.986,399,3,137,91,17,242,3243,940,2010,293
,,Estimated total,1,404,3,139,93,17,245,3289,953,2039,297
,State Total,,5540545,18983,204,3555,2619,3528,11696,151850,23903,108336,19611
,,"Rate per 100,000 inhabitants",,342.6,3.7,64.2,47.3,63.7,211.1,2740.7,431.4,1955.3,354
CONNECTICUT,Metropolitan Statistical Area,,2961626,,,,,,,,,,
,,Area actually reporting,1,7706,70,685,509,2629,4322,60060,9054,44302,6704
,Cities outside metropolitan areas,,113580,,,,,,,,,,
,,Area actually reporting,1,135,1,21,15,37,76,1756,248,1417,91
,Nonmetropolitan counties,,501246,,,,,,,,,,
,,Area actually reporting,1,282,7,57,37,37,181,2848,743,1793,312
,State Total,,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107
,,"Rate per 100,000 inhabitants",,227.1,2.2,21.3,15.7,75.6,128,1808,280.9,1328.5,198.7
DELAWARE,Metropolitan Statistical Area,,952065,,,,,,,,,,
,,Area actually reporting,1,4843,56,307,220,1359,3121,26333,5023,19790,1520
,Cities outside metropolitan areas,,,, ,,,,,,,,
,Nonmetropolitan counties,,,,,,,,,,,,
,,Area actually reporting,1,1,0,1,1,0,0,1,0,1,0
,State Total,,952065,4844,56,308,221,1359,3121,26334,5023,19791,1520
,,"Rate per 100,000 inhabitants",,508.8,5.9,32.4,23.2,142.7,327.8,2766,527.6,2078.7,159.7
DISTRICT OF COLUMBIA4,Metropolitan Statistical Area,,681170,,,,,,,,,,
,,Area actually reporting,1,8214,139,532,401,3480,4063,32716,2361,27382,2973
,Cities outside metropolitan areas,,,,,,,,,,,,
