metropolitan_statistical_area,counties_principal_cities,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft
"Abilene, TX M.S.A.",,169885, ,,,,, ,,,
"Abilene, TX M.S.A.","Includes Callahan, Jones, and Taylor Counties",,,,,,,,,,
"Abilene, TX M.S.A.",City of Abilene,122523,546,8,70,133,335,4269,905,3113,251
"Abilene, TX M.S.A.",Total area actually reporting,1,614,11,79,137,387,4932,1104,3530,298
"Abilene, TX M.S.A.","Rate per 100,000 inhabitants",,361.4,6.5,46.5,80.6,227.8,2903.1,649.9,2077.9,175.4
"Akron, OH M.S.A.2",,703561, ,,,,, ,,,
"Akron, OH M.S.A.2",Includes Portage and Summit Counties,,,,,,,,,,
"Akron, OH M.S.A.2",City of Akron,197257,1216,34,212,415,555,8646,2483,5483,680
"Akron, OH M.S.A.2",Total area actually reporting,0.962,1739,41,335,530,833,17453,3865,12599,989
"Akron, OH M.S.A.2",Estimated total,1,1781,42,344,544,851,18043,3963,13067,1013
"Akron, OH M.S.A.2","Rate per 100,000 inhabitants",,253.1,6,48.9,77.3,121,2564.5,563.3,1857.3,144
"Albany, GA M.S.A.",,152566, ,,,,, ,,,
"Albany, GA M.S.A.","Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",,,,,,,,,,
"Albany, GA M.S.A.",City of Albany,74330,873,16,28,204,625,3620,888,2585,147
"Albany, GA M.S.A.",Total area actually reporting,0.96,1098,18,41,237,802,5553,1415,3934,204
"Albany, GA M.S.A.",Estimated total,1,1121,18,43,244,816,5753,1449,4084,220
"Albany, GA M.S.A.","Rate per 100,000 inhabitants",,734.8,11.8,28.2,159.9,534.9,3770.8,949.8,2676.9,144.2
"Albany, OR M.S.A.",,122030, ,,,,, ,,,
"Albany, OR M.S.A.",Includes Linn County,,,,,,,,,,
"Albany, OR M.S.A.",City of Albany,52544,43,0,12,21,10,1512,146,1256,110
"Albany, OR M.S.A.",Total area actually reporting,1,139,0,34,33,72,3283,462,2564,257
"Albany, OR M.S.A.","Rate per 100,000 inhabitants",,113.9,0,27.9,27,59,2690.3,378.6,2101.1,210.6
"Albany-Schenectady-Troy, NY M.S.A.",,878166,,,,,,,,,
"Albany-Schenectady-Troy, NY M.S.A.","Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",,,,,,,,,,
"Albany-Schenectady-Troy, NY M.S.A.",City of Albany,98617,848,2,59,250,537,3461,491,2858,112
"Albany-Schenectady-Troy, NY M.S.A.",City of Schenectady,65138,595,6,58,146,385,2100,378,1525,197
"Albany-Schenectady-Troy, NY M.S.A.",City of Troy,49876,362,3,25,102,232,1792,394,1308,90
"Albany-Schenectady-Troy, NY M.S.A.",Total area actually reporting,1,2544,18,342,603,1581,17647,2472,14455,720
"Albany-Schenectady-Troy, NY M.S.A.","Rate per 100,000 inhabitants",,289.7,2,38.9,68.7,180,2009.5,281.5,1646,82
"Albuquerque, NM M.S.A.",,907140, ,,,,, ,,,
"Albuquerque, NM M.S.A.","Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
"Albuquerque, NM M.S.A.",City of Albuquerque,561560,6245,61,381,1957,3846,38528,6236,24582,7710
"Albuquerque, NM M.S.A.",Total area actually reporting,1,8173,75,520,2165,5413,47976,8628,30113,9235
"Albuquerque, NM M.S.A.","Rate per 100,000 inhabitants",,901,8.3,57.3,238.7,596.7,5288.7,951.1,3319.6,1018
"Alexandria, LA M.S.A.",,154032, ,,,,, ,,,
"Alexandria, LA M.S.A.",Includes Grant and Rapides Parishes,,,,,,,,,,
"Alexandria, LA M.S.A.",City of Alexandria,47936,883,11,25,154,693,4091,1057,2765,269
"Alexandria, LA M.S.A.",Total area actually reporting,0.988,1414,12,76,179,1147,7168,1946,4740,482
"Alexandria, LA M.S.A.",Estimated total,1,1422,12,77,180,1153,7236,1958,4793,485
