state,university_college,campus,student_enrollment1,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_2,rape_legacy_definition_3,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson4
ALABAMA,Jacksonville State University,,8314,5,false,0,,1,4,72,12,60,0,
ALABAMA,Samford University,,5206,0,false,0,,0,0,57,7,50,0,
ALABAMA,Troy University,,17765,4,false,2,,1,1,116,11,102,3,
ALABAMA,Tuskegee University,,2996,4,false,0,,0,4,84,0,81,3,
ALABAMA,University of Alabama: ,Birmingham,18333,32,false,5,,4,23,353,4,340,9,
ALABAMA,University of Alabama: ,Tuscaloosa,37098,20,false,4,,1,15,306,33,269,4,
ALABAMA,University of South Alabama,,16211,22,false,3,,1,18,119,13,104,2,
ALASKA,University of Alaska: ,Anchorage,16762,4,false,0,,0,4,139,7,120,12,1
ALASKA,University of Alaska: ,Fairbanks,8638,4,false,2,,0,2,66,1,62,3,0
ARIZONA,Arizona State University,Main Campus,90906,45,false,10,,13,22,902,82,803,17,3
ARIZONA,Central Arizona College,,5849,2,false,0,,0,2,13,7,4,2,0
ARIZONA,Northern Arizona University,,29021,26,false,15,,2,9,232,15,214,3,1
ARIZONA,Pima Community College,,26880,2,false,1,,1,0,87,9,75,3,0
ARIZONA,University of Arizona,,42595,24,false,17,,1,6,612,47,548,17,0
ARKANSAS,Arkansas State University: ,Beebe,3935,1,false,1,,0,0,6,0,4,2,0
ARKANSAS,Arkansas State University: ,Jonesboro,13410,6,false,4,,0,2,113,8,103,2,0
ARKANSAS,Arkansas Tech University,,12054,6,false,0,,2,4,83,20,60,3,0
ARKANSAS,University of Arkansas: ,Fayetteville,26754,9,false,3,,1,5,233,16,185,32,1
ARKANSAS,University of Arkansas: ,Little Rock,11891,1,false,0,,0,1,82,2,76,4,0
ARKANSAS,University of Arkansas: ,Medical Sciences,3021,4,false,0,,0,4,85,2,77,6,0
ARKANSAS,University of Arkansas: ,Pine Bluff,2658,1,false,0,,1,0,56,5,51,0,1
ARKANSAS,University of Central Arkansas,,11754,4,false,3,,0,1,112,9,99,4,0
CALIFORNIA,Allan Hancock College,,10949,0,false,0,,0,0,15,5,10,0,0
,California State Polytechnic University: ,Pomona,23717,7,false,4,,2,1,175,20,142,13,0
,California State Polytechnic University: ,San Luis Obispo,20944,12,false,10,,1,1,136,10,125,1,1
,California State University: ,Bakersfield,9228,1,false,0,,0,1,59,4,53,2,0
,California State University: ,Channel Islands,6167,5,false,5,,0,0,72,6,64,2,0
,California State University: ,Chico,17220,8,false,6,,1,1,256,12,233,11,0
,California State University: ,Dominguez Hills,14635,4,false,0,,1,3,45,6,34,5,0
,California State University: ,East Bay,15528,3,false,2,,1,0,75,11,62,2,0
,California State University: ,Fresno,24136,15,false,5,,5,5,337,62,245,30,1
,California State University: ,Fullerton,38948,4,false,0,,1,3,213,28,177,8,0
,California State University: ,Long Beach,37446,9,false,3,,2,4,193,8,165,20,1
,California State University: ,Los Angeles,27680,8,false,4,,0,4,145,9,124,12,0
,California State University: ,Monterey Bay,7102,4,false,2,,1,1,48,3,45,0,1
,California State University: ,Northridge,41548,21,false,10,,7,4,258,17,225,16,0
,California State University: ,Sacramento,30284,4,false,1,,2,1,198,10,181,7,0
,California State University: ,San Bernardino,20024,10,false,4,,3,3,99,5,69,25,2
,California State University: ,San Jose,32773,30,false,6,,4,20,424,34,356,34,6
,California State University: ,San Marcos,12793,4,false,2,,1,1,49,5,44,0,0
,California State University: ,Stanislaus,9282,1,false,0,,0,1,72,3,65,4,0
,College of the Sequoias,,11266,2,false,0,,1,1,77,14,57,6,0
,Contra Costa Community College,,34910,7,false,0,,5,2,230,20,181,29,1
,Cuesta College,,9600,0,false,0,,0,0,11,0,10,1,0
,El Camino College,,24001,3,false,0,,3,0,103,11,84,8,1
,Foothill-De Anza College,,37960,1,false,0,,1,0,46,1,42,3,0
,Humboldt State University,,8790,6,false,4,,2,0,112,5,107,0,2
,Irvine Valley College,,13183,0,false,0,,0,0,31,5,26,0,0
,Marin Community College,,5490,1,false,0,,0,1,17,2,15,0,0
,Mt. San Jacinto College,,15010,2,false,1,,0,1,33,12,17,4,0
,Pasadena Community College,,27050,4,false,0,,1,3,83,1,81,1,1
,Riverside Community College,,37594,0,false,0,,0,0,88,7,69,12,0
,San Bernardino Community College,,19121,4,false,0,,3,1,86,23,55,8,1
,San Diego State University,,34254,19,false,8,,9,2,593,65,515,13,3
,San Francisco State University,,30256,9,false,4,,4,1,260,33,212,15,0
,San Jose/Evergreen Community College ,,17136,1,false,0,,0,1,39,0,36,3,0
,Santa Rosa Junior College,,22411,5,false,0,,0,5,51,2,49,0,0
