state,state_tribal_other_agencies,unit_office,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_1,rape_legacy_definition_2,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson3
ALABAMA–Tribal Agencies,Poarch Creek Tribal,,13,0,0,,4,9,365,5,347,13,
ALASKA–State Agencies,Alaska State Troopers,,1226,15,301,,36,874,3556,1138,1962,456,43
ALASKA–Other Agencies,Fairbanks International Airport,,1,0,1,,0,0,13,1,9,3,1
ALASKA–Other Agencies,Ted Stevens Anchorage International Airport,,9,0,0,,1,8,183,5,145,33,0
ARIZONA–State Agencies,Arizona Department of Public Safety,,67,0,0,,1,66,11,3,8,0,1
ARIZONA–Tribal Agencies,Cocopah Tribal,,7,0,0,,0,7,9,3,5,1,0
ARIZONA–Tribal Agencies,Fort Apache Agency,,42,1,18,,1,22,0,0,0,0,
ARIZONA–Tribal Agencies,Fort McDowell Tribal,,17,0,0,,3,14,22,2,16,4,
ARIZONA–Tribal Agencies,Gila River Indian Community,,232,8,21,,29,174,479,86,324,69,
ARIZONA–Tribal Agencies,Hopi Tribal,,30,1,1,,1,27,171,72,89,10,
ARIZONA–Tribal Agencies,Hualapai Tribal,,45,0,5,,1,39,81,23,45,13,0
ARIZONA–Tribal Agencies,Navajo Nation,,2069,24,170,,15,1860,719,204,298,217,
ARIZONA–Tribal Agencies,Pascua Yaqui Tribal,,21,0,1,,2,18,217,31,183,3,0
ARIZONA–Tribal Agencies,Salt River Tribal,,399,0,7,,3,389,596,53,492,51,
ARIZONA–Tribal Agencies,San Carlos Agency,,0,0,0,,0,0,0,0,0,0,0
ARIZONA–Tribal Agencies,Truxton Canon Agency,,8,0,0,,0,8,2,2,0,0,0
ARIZONA–Tribal Agencies,Yavapai-Apache Nation,,6,0,0,,0,6,4,0,4,0,
ARIZONA–Tribal Agencies,Yavapai-Prescott Tribal,,6,0,0,,0,6,47,1,45,1,
ARIZONA–Other Agencies,Tucson Airport Authority,,1,0,0,,0,1,84,3,34,47,0
ARKANSAS–State Agencies,Camp Robinson,,1,0,0,,0,1,5,1,4,0,0
ARKANSAS–State Agencies,State Capitol Police,,0,0,0,,0,0,38,0,38,0,0
CALIFORNIA–State Agencies,Atascadero State Hospital,,309,0,0,,0,309,4,0,4,0,0
,California State Fair,,2,0,0,,0,2,90,20,66,4,0
,Coalinga State Hospital,,173,0,1,,0,172,4,1,3,0,0
,Department of Parks and Recreation: ,Angeles,2,0,0,,0,2,10,0,10,0,0
,,Bay Area,0,0,0,,0,0,0,0,0,0,0
,,Calaveras County,0,0,0,,0,0,0,0,0,0,0
