state,total_aggravated_assaults1,firearms,knives_or_cutting_instruments,other_weapons,personal_weapons,agency_count,population
Alabama,17364,3994,1762,10068,1540,264,4392449
Alaska,3992,883,750,1224,1135,32,738566
Arizona,19232,5024,2822,4559,6827,90,6514042
Arkansas,11385,3884,1662,2564,3275,272,2827056
California,104295,20633,17156,36031,30475,732,39209622
Colorado,11271,3590,2651,2778,2252,197,5109023
Connecticut,4558,746,1053,1579,1180,103,3500401
Delaware,3120,1054,596,1095,375,56,950787
District of Columbia,4063,1057,1181,1341,484,3,681170
Florida,59678,17506,10874,21084,10214,668,20566240
Georgia,22896,8329,3204,5867,5496,504,9639636
Hawaii,2769,180,424,1074,1091,4,1428557
Idaho,2866,613,464,838,951,108,1680830
Illinois2,1745,955,184,278,328,1,147363
Indiana,14225,3233,1506,3876,5610,217,4663407
Iowa,6321,920,978,1260,3163,207,2867132
Kansas,6441,2223,1282,1652,1284,227,2211329
Kentucky,5035,1714,662,1829,830,420,4424357
Louisiana,18173,5284,2803,4958,5128,187,4553790
Maine,948,74,160,218,496,197,1331479
Maryland,14595,2474,3420,5387,3314,148,5312551
Massachusetts,17289,1940,3935,7504,3910,346,6477104
Michigan,30387,8401,5521,10177,6288,613,9757748
Minnesota,7028,1635,1239,1739,2415,377,5519952
Mississippi,2469,902,340,593,634,71,1565661
Missouri,21610,7914,2563,5792,5341,576,5939159
Montana,2948,477,399,964,1108,106,1036405
Nebraska,3409,763,641,1077,928,224,1820419
Nevada,11557,2445,2122,4806,2184,52,2940058
New Hampshire,1546,302,375,323,546,174,1275170
New Jersey,11075,2196,2313,3741,2825,569,8944469
New Mexico,9104,2092,1627,2775,2610,104,1906995
New York,44896,4943,11305,13527,15121,549,19508097
North Carolina,15209,6878,2355,3118,2858,275,6638699
North Dakota,1207,60,143,285,719,106,753138
Ohio,14648,5339,2608,4218,2483,472,9736188
Oklahoma,12086,2827,2080,3970,3209,341,3833107
Oregon,6061,904,1095,1981,2081,180,3681279
Pennsylvania,20817,4731,3033,4977,8076,1241,11691589
Rhode Island,1312,268,399,385,260,46,983740
South Carolina,17360,7186,2831,4198,3145,434,4794988
South Dakota,2176,235,451,551,939,108,791627
Tennessee,30777,10924,5361,11120,3372,462,6610985
Texas,71583,21222,14482,22677,13202,984,27340228
Utah,4057,849,1027,1210,971,116,2937596
Vermont,302,39,59,53,151,46,348314
Virginia,10239,3229,1787,2701,2522,413,8406696
Washington,12907,2708,1987,4012,4200,236,7263284
West Virginia,4004,1025,536,929,1514,301,1380643
Wisconsin,10729,2824,1175,2324,4406,413,5730771
Wyoming,1087,90,159,257,581,55,556446
1 The number of aggravated assaults from agencies that submitted 12 months of data in 2016 for which breakdowns by type of weapon were included.,,,,,,,
2 Limited data were received.  ,,,,,,,
