population_group,column_b,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_1,rape_legacy_definition_2,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson3,number_of_agencies,2016_estimated_population
TOTAL ALL AGENCIES:,Offenses known,1183933,15566,111241,6822,306172,744132,7319177,1393570,5211566,714041,42131,15336,297593825
TOTAL ALL AGENCIES:,Percent cleared by arrest,45.6,59.4,36.5,40.9,29.6,53.3,18.3,13.1,20.4,13.3,20.8,,
TOTAL CITIES,Offenses known,944676,11978,82764,4534,268367,577033,5818143,1025177,4213156,579810,31622,10953,201336755
TOTAL CITIES,Percent cleared by arrest,43.7,57.1,34.7,43.3,29.1,51.6,18.2,12.4,20.5,12.2,20.1,,
"GROUP I (all cities 250,000 and over)",Offenses known,446513,6229,31796,1137,148440,258911,1992102,358785,1371236,262081,12563,83,59116292
"GROUP I (all cities 250,000 and over)",Percent cleared by arrest,39.1,52.9,36.4,43.7,26.8,46.2,12.7,9.6,14.2,9.2,15.3,,
"1,000,000 and over (Group 1 subset)",Offenses known,171699,1923,12383,0,59695,97698,655240,111045,455822,88373,3639,10,24933624
"1,000,000 and over (Group 1 subset)",Percent cleared by arrest,44.4,60.2,37.6,0,31.1,53,12.4,9.6,13.9,8.3,14.1,,
"500,000 to 999,999 (Group 1 subset)",Offenses known,150170,2242,9992,600,48381,88955,732585,133045,506516,93024,4350,24,17424128
"500,000 to 999,999 (Group 1 subset)",Percent cleared by arrest,34.9,49.3,38.4,35.3,23.2,40.5,11.3,9,12.3,9,16.6,,
" 250,000 to 499,999 (Group 1 subset)",Offenses known,124644,2064,9421,537,40364,72258,604277,114695,408898,80684,4574,49,16758540
" 250,000 to 499,999 (Group 1 subset)",Percent cleared by arrest,37.1,50.1,32.6,53.1,24.6,44.2,14.8,10.3,16.9,10.5,14.9,,
"GROUP II (100,000 to 249,999)",Offenses known,154137,2067,14154,624,44621,92671,1029742,185432,726965,117345,4968,214,31784818
"GROUP II (100,000 to 249,999)",Percent cleared by arrest,42,59.5,33.2,42.1,27.7,49.8,16.6,11.6,18.7,11.8,20.2,,
"GROUP III (50,000 to 99,999)",Offenses known,112984,1188,11254,601,30104,69837,868828,149523,639214,80091,4265,468,32549603
"GROUP III (50,000 to 99,999)",Percent cleared by arrest,49.2,63.5,35.5,43.1,33.7,57.9,19.9,13,22.4,12.5,21.3,,
"GROUP IV (25,000 to 49,999)",Offenses known,84913,949,9055,856,20613,53440,703177,120839,532352,49986,3232,813,28308217
"GROUP IV (25,000 to 49,999)",Percent cleared by arrest,47.5,61.7,32.1,35.4,33.9,55.3,22.8,13.6,25.7,14.9,24.1,,
"GROUP V (10,000 to 24,999)",Offenses known,75496,848,8180,632,15109,50727,654670,113344,501960,39366,2839,1702,27155943
"GROUP V (10,000 to 24,999)",Percent cleared by arrest,52.4,65.3,34.4,42.9,36.1,60.1,25.4,15.8,28,19.6,29.1,,
"GROUP VI (under 10,000)",Offenses known,70633,697,8325,684,9480,51447,569624,97254,441429,30941,3755,7673,22421882
"GROUP VI (under 10,000)",Percent cleared by arrest,54,60.4,32.5,54.2,36.2,60.6,24.1,17.7,25.6,24,24.8,,
METROPOLITAN COUNTIES,Offenses known,191881,2736,20192,1716,35096,132141,1214788,278245,825554,110989,7842,1997,72365974
METROPOLITAN COUNTIES,Percent cleared by arrest,51.9,66.1,41.3,34.2,32,58.7,18.3,14.7,19.7,16.9,21.6,,
NONMETROPOLITAN COUNTIES,Offenses known,47376,852,8285,572,2709,34958,286246,90148,172856,23242,2667,2386,23891096
NONMETROPOLITAN COUNTIES,Percent cleared by arrest,57.3,69.4,42.8,41.3,44.1,61.7,19.1,16.5,19.8,24.8,25.8,,
SUBURBAN AREA4,Offenses known,329716,4147,35781,2790,66051,220947,2461511,475833,1790558,195120,13728,8314,128677778
SUBURBAN AREA4,Percent cleared by arrest,51.7,63.9,38,39.7,33.3,59.3,20.9,15,22.9,16.8,23.7,,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,,
"3 Not all agencies submit reports for arson to the FBI. As a result, the number of reports the FBI uses to compute the percent of offenses cleared for arson is less than the number it uses to compute the percent of offenses cleared for all other offenses.",,,,,,,,,,,,,,
